Job,Education,Marital Status,Contact,Subscription,Call Duration
admin,masters,divorced,unknown,no,0 hrs 9 mins 37 secs 
admin,masters,married,cellular,no,0 hrs 1 mins 31 secs 
admin,masters,divorced,cellular,no,0 hrs 7 mins 26 secs 
admin,bachelors,married,cellular,no,0 hrs 1 mins 54 secs 
admin,masters,married,cellular,no,0 hrs 3 mins 34 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 13 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 21 secs 
admin,masters,single,cellular,no,0 hrs 2 mins 6 secs 
admin,masters,married,cellular,yes,0 hrs 14 mins 40 secs 
admin,Doctorate,married,unknown,no,0 hrs 2 mins 26 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 1 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 46 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 29 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 16 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 50 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 52 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 11 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 54 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 28 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 54 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 24 secs 
admin,masters,single,unknown,,0 hrs 2 mins 58 secs 
admin,masters,married,unknown,,0 hrs 0 mins 32 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 6 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 9 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 5 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 44 secs 
admin,unknown,single,unknown,no,0 hrs 5 mins 28 secs 
admin,unknown,married,unknown,no,0 hrs 2 mins 44 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 29 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 14 secs 
admin,bachelors,married,unknown,no,0 hrs 4 mins 43 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 41 secs 
admin,masters,divorced,unknown,no,0 hrs 8 mins 9 secs 
admin,bachelors,married,unknown,no,0 hrs 6 mins 21 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 32 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 39 secs 
admin,masters,divorced,unknown,yes,0 hrs 8 mins 33 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 16 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 14 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 26 secs 
admin,bachelors,married,unknown,no,0 hrs 2 mins 41 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 15 secs 
admin,Doctorate,married,unknown,no,0 hrs 3 mins 5 secs 
admin,masters,married,unknown,no,0 hrs 9 mins 58 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 11 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 51 secs 
admin,Doctorate,single,unknown,no,0 hrs 1 mins 34 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 57 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 16 secs 
admin,masters,single,unknown,no,0 hrs 9 mins 4 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 49 secs 
admin,masters,married,unknown,no,0 hrs 28 mins 33 secs 
admin,Doctorate,divorced,unknown,no,0 hrs 0 mins 26 secs 
admin,Doctorate,single,unknown,no,0 hrs 1 mins 29 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 38 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 12 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 47 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 17 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 38 secs 
admin,masters,single,unknown,no,0 hrs 9 mins 53 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 12 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 39 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 42 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 41 secs 
admin,masters,married,unknown,no,0 hrs 8 mins 40 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 27 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 25 secs 
admin,masters,divorced,unknown,no,0 hrs 8 mins 41 secs 
admin,masters,single,unknown,no,0 hrs 6 mins 26 secs 
admin,masters,divorced,unknown,no,0 hrs 0 mins 59 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 33 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 0 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 42 secs 
admin,unknown,single,unknown,no,0 hrs 6 mins 26 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 14 secs 
admin,masters,divorced,unknown,no,0 hrs 3 mins 33 secs 
admin,masters,married,unknown,no,0 hrs 9 mins 28 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 47 secs 
admin,masters,single,unknown,no,0 hrs 9 mins 25 secs 
admin,masters,married,unknown,no,0 hrs 17 mins 24 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 0 secs 
admin,masters,married,unknown,no,0 hrs 9 mins 34 secs 
admin,masters,single,unknown,no,0 hrs 20 mins 4 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 3 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 34 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 7 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 45 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 24 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 17 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 15 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 28 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 39 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 29 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 47 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 48 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 1 secs 
admin,masters,married,unknown,,0 hrs 7 mins 47 secs 
admin,unknown,married,unknown,no,0 hrs 8 mins 29 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 11 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 33 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 26 secs 
admin,masters,married,unknown,no,0 hrs 6 mins 22 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 48 secs 
admin,masters,married,unknown,yes,0 hrs 10 mins 7 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 23 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 43 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 44 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 27 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 51 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 20 secs 
admin,masters,married,unknown,no,0 hrs 11 mins 1 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 4 secs 
admin,bachelors,married,unknown,no,0 hrs 5 mins 25 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 29 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 29 secs 
admin,unknown,married,unknown,no,0 hrs 12 mins 5 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 31 secs 
admin,Doctorate,single,unknown,no,0 hrs 7 mins 12 secs 
admin,masters,single,unknown,no,0 hrs 10 mins 41 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 40 secs 
admin,masters,married,unknown,no,0 hrs 6 mins 23 secs 
admin,Doctorate,single,unknown,no,0 hrs 3 mins 27 secs 
admin,masters,married,unknown,no,0 hrs 8 mins 12 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 33 secs 
admin,masters,divorced,unknown,no,0 hrs 1 mins 36 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 52 secs 
admin,masters,married,unknown,no,0 hrs 11 mins 12 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 32 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 57 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 14 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 5 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 53 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 9 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 55 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 58 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 24 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 11 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 25 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 32 secs 
admin,masters,married,unknown,no,0 hrs 7 mins 7 secs 
admin,masters,married,unknown,no,0 hrs 0 mins 27 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 24 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 0 secs 
admin,masters,single,unknown,no,0 hrs 7 mins 40 secs 
admin,masters,single,unknown,no,0 hrs 0 mins 41 secs 
admin,Doctorate,divorced,unknown,no,0 hrs 2 mins 52 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 40 secs 
admin,masters,married,unknown,yes,0 hrs 6 mins 54 secs 
admin,masters,divorced,unknown,no,0 hrs 2 mins 10 secs 
admin,masters,married,unknown,no,0 hrs 1 mins 15 secs 
admin,masters,married,unknown,no,0 hrs 2 mins 42 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 3 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 28 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 55 secs 
admin,masters,single,unknown,no,0 hrs 2 mins 49 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 19 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 39 secs 
admin,masters,single,unknown,no,0 hrs 6 mins 17 secs 
admin,masters,married,unknown,no,0 hrs 5 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 29 secs 
admin,masters,married,unknown,no,0 hrs 6 mins 38 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 32 secs 
admin,masters,married,unknown,no,0 hrs 8 mins 0 secs 
admin,masters,single,unknown,no,0 hrs 3 mins 15 secs 
admin,masters,single,unknown,no,0 hrs 7 mins 19 secs 
admin,Doctorate,single,unknown,no,0 hrs 1 mins 9 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 11 secs 
admin,Doctorate,married,unknown,no,0 hrs 0 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 4 mins 45 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 56 secs 
admin,masters,single,unknown,no,0 hrs 1 mins 29 secs 
admin,bachelors,married,unknown,no,0 hrs 7 mins 18 secs 
admin,bachelors,married,unknown,no,0 hrs 10 mins 20 secs 
admin,unknown,single,unknown,no,0 hrs 1 mins 46 secs 
admin,masters,married,unknown,no,0 hrs 4 mins 53 secs 
admin,masters,married,unknown,yes,0 hrs 13 mins 12 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 19 secs 
admin,masters,single,unknown,no,0 hrs 5 mins 10 secs 
admin,bachelors,married,unknown,no,0 hrs 1 mins 0 secs 
admin,masters,married,unknown,no,0 hrs 3 mins 36 secs 
